Trip ID,Days on trips,From,To,Description,Mode,Stay type,Days of Stay
2021_1,7,"Sun, 24-Jan","Sat, 30-Jan",Goa - Anniversary - Alila Diwa,Gaadi - Baleno ,Hotel,6
2021_2,3,"Fri, 11-Jun","Sun, 13-Jun",Tithal,Gaadi - Baleno ,Home,2
2021_3,3,"Fri, 18-Jun","Sun, 20-Jun",Pune Mauli hills - ,Baleno and Endeavour,Home,2
2021_4,4,"Fri, 16-Jul","Mon, 19-Jul",Tithal,Gaadi - Baleno ,Home,3
2021_5,4,"Sun, 8-Aug","Wed, 11-Aug",Lavasu - Lonavala,Gaadi - Baleno + Innova,Home,3
2021_6,23,"Fri, 24-Sep","Sat, 16-Oct",Goa - Banglore (Dussehra),Gaadi - Baleno ,Home,22
2021_7,3,"Fri, 29-Oct","Sun, 31-Oct",Pune - IHCL,Gaadi - Baleno ,Hotel,2
2021_8,2,"Wed, 10-Nov","Thu, 11-Nov",Nashik - Winjit Interview,Gaadi - Baleno ,Hotel,1
2021_9,2,"Sun, 5-Dec","Mon, 6-Dec",Tithal ,Gaadi - Baleno ,Home,1
2021_10,4,"Thu, 30-Dec","Sun, 2-Jan",NYE Navsari Trip w/ Panda,Gaadi - Baleno ,Home,3
