Visit Count,Cities,States,Stayed
n+,Surat,Gujarat,Yes
n+,Bombay,Maharashtra,Yes
n+,Belgavi,Karnataka,Yes
2nd,Banglore,Karnataka,Yes
n+,Pune,Maharashtra,Yes
n+,Navsari,Gujarat,Yes
n+,Lavasa,Maharashtra,Yes
n+,Siolim,Goa,Yes
n+,Utorda,Goa,Yes
n+,Agalambe,Maharashtra,Yes
1st,Phuket,Thailand,Yes
1st,Krabi,Thailand,Yes
1st,Koh Samui,Thailand,Yes
1st,Koh Phangan,Thailand,Yes
1st,Bangkok,Thailand,Yes
n+,Alibaug,Maharashtra,Yes
n+,Ahmedabad,Gujarat,Yes
n+,Sankheshwar,Gujarat,Yes
n+,Morbi,Gujarat,Yes
n+,Rajkot,Gujarat,Yes
1st,Junagadh,Gujarat,Yes
1st,Dwarka,Gujarat,Yes
2nd,Diu,Daman Dadra,Yes
1st,Gandevi,Gujarat,Yes
