Trip ID,Days on trips,From,To,Description,Mode,Stay type,Days of Stay,Hotel,BnB,Home
2024_1,7,"Thu, 8-Feb","Wed, 14-Feb",Morbi - Rajkot,Train,Home,6,,,
2024_2,3,"Sat, 17-Feb","Mon, 19-Feb",Ahmedbad - Babbi wedding,Gaadi,Hotel,2,,,
2024_3,3,"Fri, 8-Mar","Sun, 10-Mar",Imaagica + Pune - Mauli Hills,Gaadi,Home,2,,,
2024_4,3,"Fri, 29-Mar","Sun, 31-Mar",Poona w/ Bhatts (?) Lonavala - Cousins trip,Gaadi,Hotel,2,,,
2024_5,3,"Sun, 14-Apr","Tue, 16-Apr",Nashik,Gaadi,Hotel,2,,,
2024_6,4,"Sun, 12-May","Wed, 15-May",Gandevi,Gaadi,Home,3,,,
2024_7,7,"Wed, 5-Jun","Tue, 11-Jun",Goa w/ Varun and then Tiny,Gaadi,Hotel,4,,,
2024_7,7,"Wed, 5-Jun","Tue, 11-Jun",Goa w/ Varun and then Tiny,Gaadi,BnB,2,,,
2024_8,4,"Wed, 10-Jul","Sat, 13-Jul",Statue of Unity,Train,Hotel,3,,,
2024_9,9,"Wed, 14-Aug","Thu, 22-Aug",Project Niggah (Thailand),Flight + Ferry,Hotel,8,,,
2024_10,3,"Fri, 11-Oct","Sun, 13-Oct",Nashik Ambad Gateway,Gaadi,Hotel,2,,,
2024_11,4,"Sun, 27-Oct","Wed, 30-Oct",Poona / Varkala / Kahi toh jaayenge Lonavala ,Gaadi,Hotel,3,,,
2024_12,3,"Tue, 5-Nov","Thu, 7-Nov",Gandevi,Gaadi,Home,2,,,
2024_13,3,"Fri, 8-Nov","Sun, 10-Nov",Poona ,Gaadi,Home,2,,,
