Visit Count,Cities,States,Stayed
n+,Bombay,Maharashtra,Yes
n+,Bengaluru,Karnataka,Yes
1st,Mysuru,Karnataka,Yes
n+,Gandevi,Gujarat,Yes
n+,Surat,Gujarat,Yes
1st,Chittorgarh,Rajasthan,Yes
1st,Udaipur,Rajasthan,Yes
1st,Gurugram,Haryana,Yes
n+,Nashik,Maharashtra,Yes
n+,Navsari,Gujarat,Yes
n+,Pune,Maharashtra,Yes
n+,Anjuna,Goa,Yes
n+,Rajkot,Gujarat,Yes
n+,Morbi,Gujarat,Yes
n+,Agalambe,Maharashtra,Yes
n+,Karjat,Maharashtra,Yes
n+,Arambol,Goa,Yes
n+,Candolim,Goa,Yes
1st,Alibaug,Maharashtra,No
1st,Delhi,Delhi,No
