Movie,Date,Where,With,days since
Deva,"Sunday, 9-Feb",Citi Mall,Bae,39
Interstellar,"Wednesday, 12-Feb",INOX Maison Jio World Drive,Baithak,3
Chava,"Friday, 21-Feb",Eros IMAX,Bae,9
Superboys of Malegaon,"Friday, 28-Feb",Inifiniti Mall PVR,Bae,7
Crazy,"Thursday, 6-Mar",Oberoi PVR,Bae + Didi,6
Mickey 17,"Wednesday, 12-Mar",Inorbit Malad IMAX,Bae,6
Raid 2,"Tuesday, 13-May",Juhu PVR,Bae,62
Ballerina,"Saturday, 14-Jun",Juhu PVR,Bae,32
F1,"Monday, 14-Jul",Oberoi PVR,Bae,30
One battle after another,"Monday, 13-Oct",Oberoi PVR,Bae,91
